Week,blockchain
2017-08-06,23
2017-08-13,25
2017-08-20,27
2017-08-27,27
2017-09-03,27
2017-09-10,28
2017-09-17,27
2017-09-24,27
2017-10-01,28
2017-10-08,35
2017-10-15,42
2017-10-22,43
2017-10-29,46
2017-11-05,49
2017-11-12,46
2017-11-19,48
2017-11-26,68
2017-12-03,83
2017-12-10,89
2017-12-17,100
2017-12-24,68
2017-12-31,73
2018-01-07,86
2018-01-14,76
2018-01-21,65
2018-01-28,60
2018-02-04,54
2018-02-11,49
2018-02-18,52
2018-02-25,48
2018-03-04,45
2018-03-11,47
2018-03-18,46
2018-03-25,40
2018-04-01,39
2018-04-08,40
2018-04-15,42
2018-04-22,42
2018-04-29,41
2018-05-06,42
2018-05-13,45
2018-05-20,39
2018-05-27,37
2018-06-03,39
2018-06-10,36
2018-06-17,36
2018-06-24,35
2018-07-01,30
2018-07-08,32
2018-07-15,32
2018-07-22,35
2018-07-29,32
2018-08-05,30
2018-08-12,31
2018-08-19,29
2018-08-26,34
2018-09-02,33
2018-09-09,32